Surname,Credit Score,Geography,Gender,Age,Tenure,Balance,Number Of Products,Has Cr Card,Is Active Member,Estimated Salary,Exited
Milani,559,Spain,Female,27,1,0,1,no,yes,1050.33,no
Akobundu,545,Spain,Male,36,8,73211.12,2,yes,no,89587.34,yes
Anderson,524,France,Male,22,9,0,2,yes,no,74405.34,no
Chien,707,France,Female,55,1,0,2,no,yes,54409.48,no
Kennedy,671,Spain,Male,38,0,92674.94,2,yes,no,3647.57,no
Castiglione,439,Spain,Male,52,3,96196.24,4,yes,no,198874.52,yes
Marshall,667,Germany,Female,36,1,114391.62,1,yes,yes,53412.54,no
Duncan,831,Germany,Male,32,9,80262.66,1,yes,no,194867.78,no
Uspenskaya,545,Spain,Female,33,7,173331.52,1,yes,no,150452.88,no
Thomson,604,Spain,Female,35,7,147285.52,1,yes,yes,57807.05,no
Calabrese,657,Spain,Male,67,5,119785.47,2,yes,yes,107534.32,no
Herrera,487,Spain,Female,36,1,140137.15,1,yes,no,194073.33,no
Muse,750,Germany,Female,52,6,107467.56,1,yes,no,126233.18,yes
Marsden,694,Germany,Female,37,8,98218.04,2,yes,no,182354.46,yes
Artemyeva,711,Germany,Female,35,2,133607.75,1,yes,yes,120586.32,no
McKay,551,France,Male,37,3,0,2,yes,yes,50578.4,no
Chuang,559,France,Female,38,8,95139.41,1,yes,yes,86575.46,no
Nicholls,620,France,Female,29,3,0,2,no,yes,153392.28,no
Dennis,660,Spain,Male,42,5,0,2,yes,no,115509.59,no
Knight,449,France,Female,37,6,0,2,yes,no,82176.48,no
Webb,703,Germany,Female,26,1,97331.19,1,yes,no,63717.49,no
Pugliesi,795,Germany,Male,37,2,139265.63,2,yes,yes,198745.94,no
Nebechukwu,594,France,Female,31,9,0,1,no,yes,5719.11,no
Ward,586,Spain,Male,34,5,168094.01,1,no,no,20058.61,no
Nixon,613,Germany,Female,30,5,131563.88,2,yes,no,170638.98,no
Chidubem,601,France,Male,44,3,0,2,yes,no,30607.11,no
Rivers,657,France,Male,50,9,0,2,no,no,37171.46,no
Sochima,531,France,Male,31,3,0,1,yes,yes,42589.33,no
Heydon,621,Germany,Male,47,7,107363.29,1,yes,yes,66799.28,no
Lombardo,782,France,Female,33,2,94493.03,1,no,yes,101866.39,no
Holland,528,Germany,Female,29,9,170214.23,2,yes,no,49284,no
Tien,696,France,Male,52,6,139781.06,1,yes,no,27445.4,yes
Bryant,586,France,Female,35,7,0,2,yes,no,70760.69,no
Hao,626,Spain,Female,26,8,148610.41,3,no,yes,104502.02,yes
Genovesi,498,France,Male,73,2,170241.7,2,yes,yes,165407.96,no
Kovalev,691,France,Female,33,1,128306.83,1,yes,yes,113580.79,no
Hsieh,568,France,Female,47,7,0,2,yes,yes,45978.39,no
Debellis,715,France,Female,35,3,0,1,yes,yes,152012.36,no
Chibueze,680,Germany,Male,32,7,175454,1,no,yes,77349.92,no
Padovano,802,Spain,Male,41,6,0,2,yes,no,47322.05,no
Yen,539,France,Female,22,0,100885.93,2,yes,yes,38772.65,no
Kibble,494,France,Male,69,9,93320.8,1,yes,yes,24489.44,no
Lori,594,Germany,Male,38,6,63176.44,2,yes,yes,14466.08,no
Enemuo,596,France,Male,33,2,139451.67,1,no,no,63142.12,no
Lu,649,France,Female,52,8,49113.75,1,yes,no,41858.43,no
Nebeolisa,699,Germany,Male,32,1,123906.22,3,yes,yes,127443.82,yes
Stewart,787,France,Female,40,6,0,2,yes,yes,84151.98,no
Ward,604,France,Male,28,7,0,2,no,no,58595.64,no
Milanesi,489,Germany,Female,52,1,131441.51,1,yes,no,37240.11,yes
Chikwado,651,France,Male,56,2,0,1,yes,no,114522.68,yes
Douglas,698,France,Male,57,6,136325.48,2,yes,yes,72549.27,yes
Sal,578,Germany,Female,38,4,113150.44,2,yes,no,176712.59,yes
Douglas,538,Spain,Female,42,9,0,1,no,no,152855.96,no
Yates,696,France,Female,33,4,0,2,yes,yes,73371.65,no
Watt,507,Germany,Female,46,8,102785.16,1,yes,yes,70323.68,no
P'an,685,Spain,Male,34,6,83264.28,1,no,no,9663.28,no
H?,705,Germany,Male,41,4,72252.64,2,yes,yes,142514.66,no
Perry,499,Germany,Female,29,6,148051.52,1,yes,no,118623.94,no
Lavrov,717,France,Female,76,9,138489.66,1,yes,yes,68400.14,no
Chiekwugo,510,France,Male,63,8,0,2,yes,yes,115291.86,no
Macdonald,632,France,Male,32,6,111589.33,1,yes,yes,170382.99,no
Jenkins,668,Germany,Female,39,0,122104.79,1,yes,no,112946.67,yes
Korovina,744,Germany,Male,32,4,96106.83,1,yes,yes,79812.77,no
Manning,663,Germany,Male,42,7,115930.87,1,yes,no,19862.78,no
Wilson,638,Germany,Female,37,7,124513.66,2,yes,no,158610.89,no
Begum,688,France,Female,54,9,0,1,yes,no,191212.63,yes
Ingrassia,588,Spain,Male,46,8,0,1,yes,no,61931.21,no
Maclean,631,France,Male,33,7,0,1,yes,yes,58043.02,yes
Olejuru,687,Spain,Male,35,8,100988.39,2,yes,no,22247.27,no
Enyinnaya,599,France,Male,44,10,118577.24,1,yes,yes,31448.52,no
Watson,718,Spain,Male,28,6,0,2,yes,no,146875.86,no
Langdon,730,France,Male,27,5,0,2,yes,yes,116081.93,no
Frolov,533,France,Female,39,2,0,1,no,yes,73669.94,yes
Chikezie,711,Spain,Female,28,5,0,2,yes,yes,93959.96,no
Zetticci,555,Spain,Female,26,9,0,2,no,yes,158918.03,no
Yang,850,France,Female,42,9,113311.11,1,yes,yes,198193.75,no
Lin,678,France,Female,41,9,0,1,no,no,13160.03,no
Goddard,576,France,Male,32,7,0,2,yes,no,4660.91,no
Rogers,835,Germany,Male,20,4,124365.42,1,no,no,180197.74,yes
Zubareva,592,France,Male,42,1,147249.29,2,yes,yes,63023.02,no
Onochie,774,France,Male,36,7,103688.19,1,no,yes,118971.74,no
Ts'ui,620,France,Female,29,1,138740.24,2,no,no,154700.61,no
Newsom,519,Spain,Male,39,4,111900.14,1,yes,yes,97577.17,no
Genovese,734,Spain,Female,37,0,152760.24,1,yes,yes,48990.5,no
Thorpe,763,Germany,Male,31,7,143966.3,2,yes,yes,140262.96,yes
Horton,733,France,Male,51,10,141556.96,1,yes,no,130189.53,no
Williamson,650,France,Female,43,6,0,2,yes,yes,16301.91,no
Shoobridge,538,France,Female,33,5,0,2,yes,no,126962.41,no
Peng,577,France,Female,46,1,0,1,yes,yes,158750.53,no
Gray,792,France,Male,30,8,0,2,yes,no,199644.2,no
Watson,686,France,Female,41,10,0,1,yes,yes,144272.71,yes
Fyodorova,589,France,Male,29,2,0,2,no,yes,98320.27,no
Bazhenov,530,France,Male,25,9,162560.32,1,yes,no,64129.03,no
Solomon,778,Germany,Female,29,7,123229.46,1,yes,no,181221.09,no
Layh,616,Spain,Male,31,7,76665.71,2,yes,yes,163809.08,no
John,550,France,Male,38,9,140278.99,3,yes,yes,171457.06,yes
Tuan,655,France,Female,51,3,0,2,no,yes,15801.02,no
Slattery,721,France,Male,46,1,115764.32,2,no,no,102950.79,no
Onyekachi,499,Germany,Male,36,5,131142.53,2,yes,no,174918.46,no
Genovese,511,France,Male,45,5,68375.27,1,yes,no,193160.25,yes
Daniels,579,Germany,Female,39,5,117833.3,3,no,no,5831,yes
Caldwell,696,Spain,Female,36,7,0,2,yes,yes,82298.59,no
Chiemenam,681,France,Male,34,7,0,2,no,no,130686.59,no
Wanliss,815,France,Male,45,7,0,1,no,yes,52885.23,yes
Bruce,681,Spain,Male,30,2,111093.01,1,yes,no,68985.99,no
Wright,641,Spain,Male,42,9,132657.55,1,yes,no,35367.19,no
Fang,591,France,Female,56,9,128882.49,1,yes,yes,196241.94,yes
Eames,565,Germany,Male,59,9,69129.59,1,yes,yes,170705.53,no
Sutherland,487,France,Male,37,6,0,2,yes,yes,126477.41,no
Cavenagh,729,France,Male,39,4,121404.64,1,yes,yes,159618.17,no
Dumetolisa,505,Spain,Female,45,9,131355.3,3,yes,no,195395.33,yes
Mackay,580,France,Female,35,1,102097.33,1,no,yes,168285.85,no
Dellucci,642,France,Male,40,1,154863.15,1,yes,yes,138052.51,no
Kenyon,850,Spain,Female,41,3,99945.93,2,yes,no,71179.31,no
Parry,616,Germany,Male,39,2,121704.32,2,yes,no,55556.3,no
Kennedy,526,Spain,Female,43,3,0,2,yes,no,31705.19,no
Arnott,523,Germany,Male,35,8,138782.76,1,yes,yes,186118.93,no
Hanson,663,France,Male,35,9,0,2,yes,yes,195580.28,no
T'ao,840,France,Male,30,8,136291.71,1,yes,no,54113.38,no
Shen,570,Germany,Male,42,0,107856.57,2,yes,no,127528.84,no
Steere,676,Germany,Female,26,1,108348.66,1,no,no,60231.74,yes
Abbott,689,France,Male,47,1,93871.95,3,yes,no,156878.42,yes
Sutherland,703,Spain,Female,45,1,0,1,yes,no,182784.11,yes
Thurgood,491,Germany,Male,19,2,125860.2,1,no,no,129690.5,no
Johnson,584,France,Male,49,8,172713.44,1,yes,no,113860.81,no
Lung,810,France,Female,51,5,0,2,no,yes,184524.74,no
Cocci,745,Spain,Female,59,8,0,1,yes,yes,36124.98,no
Matveyeva,625,France,Female,39,3,130786.92,1,no,yes,121316.07,no
Moore,535,France,Female,29,2,112367.34,1,yes,no,185630.76,no
Yobachukwu,729,Spain,Female,45,7,91091.06,2,yes,no,71133.12,no
Fleming,655,France,Female,26,7,106198.5,1,no,yes,32020.42,no
Dickinson,751,France,Male,47,5,142669.93,2,yes,no,162760.96,no
Evseyev,525,France,Male,33,1,112833.35,1,no,yes,175178.56,no
Aksenov,532,France,Female,40,5,0,2,no,yes,177099.71,no
Fleming,696,Spain,Female,43,4,0,2,yes,yes,66406.37,no
Ulyanov,786,Germany,Female,32,2,104336.43,2,no,no,59559.81,no
Summers,580,France,Male,55,6,104305.74,1,no,yes,175750.21,no
Clements,596,Germany,Male,47,5,140187.1,2,yes,yes,174311.3,no
Kazakova,683,France,Male,39,4,0,2,yes,no,171716.81,no
Pirozzi,747,France,Female,45,1,114959.12,1,yes,no,189362.39,yes
Jamieson,602,France,Male,33,5,164704.38,1,no,yes,180716.1,yes
Ferri,779,France,Male,62,10,119096.55,1,no,yes,116977.89,no
Mai,551,France,Male,31,1,0,2,yes,yes,185105.44,no
Hannaford,666,France,Male,47,2,0,1,yes,no,35046.97,yes
Fomin,526,Spain,Male,30,8,0,1,yes,no,36251,no
Mahon,849,France,Female,41,9,115465.28,1,yes,no,103174.5,no
Shaw,471,France,Female,27,4,0,2,yes,no,122642.09,no
Volkova,628,Spain,Male,43,3,184926.61,1,yes,no,122937.57,no
Miles,674,Germany,Male,43,8,85957.88,2,yes,no,8757.39,no
Madison,797,France,Male,32,10,114084.6,1,no,yes,125782.29,no
Scott,590,Spain,Female,29,2,166930.76,2,yes,no,122487.73,no
Voss,588,France,Female,27,8,0,1,yes,no,20066.38,no
Colebatch,577,France,Male,29,7,0,2,yes,yes,55473.15,no
Wilson,571,France,Female,38,6,107193.82,2,no,no,38962.94,no
T'ang,680,France,Male,36,3,116275.12,1,yes,yes,63795.8,no
Gibson,648,Spain,Female,27,7,0,2,yes,yes,163060.43,no
Hs?eh,618,France,Male,39,2,91068.56,1,yes,no,26578.69,no
Pan,648,Germany,Male,41,5,123049.21,1,no,yes,5066.76,no
Chikelu,759,France,Female,39,6,0,2,yes,yes,140497.67,no
Allan,585,France,Male,40,7,0,2,no,no,146156.98,no
Yefremova,774,France,Female,42,3,137781.65,1,no,no,199316.19,no
Chuang,697,Germany,Female,48,2,108128.96,2,yes,yes,103944.37,no
Fan,605,Spain,Male,39,10,105317.73,2,yes,no,138021.36,no
Dellucci,676,France,Male,20,1,80569.73,1,no,no,68621.98,no
Garran,678,France,Female,22,4,174852.89,1,yes,yes,28149.06,no
Moretti,495,Spain,Female,45,3,89158.94,3,yes,no,135169.76,yes
Yao,787,France,Female,85,10,0,2,yes,yes,116537.96,no
Lucchesi,770,France,Male,36,2,89800.14,1,yes,yes,105922.69,no
Nkemdilim,817,Germany,Male,45,9,101207.75,1,no,no,88211.12,yes
Anderson,659,France,Male,43,1,106086.42,2,yes,no,26900.63,no
Sagese,693,France,Male,21,1,0,2,yes,yes,3494.02,no
Rubensohn,744,France,Male,47,9,0,2,yes,no,113163.17,no
Baldwin,829,Spain,Female,26,8,101440.36,2,yes,yes,19324.5,no
Iqbal,716,France,Male,38,4,0,2,yes,no,189678.7,no
Monaldo,671,France,Male,34,7,106603.74,2,yes,yes,26387.71,no
Mahon,835,Germany,Female,29,10,130420.2,2,no,no,106276.55,no
Muir,636,France,Female,38,1,0,1,yes,no,45015.38,no
Burns,649,Spain,Male,29,2,45022.23,1,yes,yes,173495.77,no
Dyer,621,Germany,Male,27,1,74298.43,1,yes,yes,52581.96,no
Lyons,658,Germany,Female,31,3,133003.03,1,no,yes,146339.27,yes
H?,784,Spain,Male,48,7,0,2,yes,yes,182609.97,no
Gardiner,783,Spain,Female,37,1,136689.66,1,yes,no,197890.65,no
Cameron,615,France,Male,32,4,0,2,yes,yes,6225.63,no
Chapman,791,France,Female,44,5,0,2,yes,yes,123977.86,yes
Taylor,762,France,Male,53,1,102520.37,1,yes,yes,170195.4,no
Namatjira,607,France,Male,35,2,0,2,yes,yes,114190.3,no
He,601,France,Female,34,5,0,2,yes,no,27022.57,no
Leibius,540,Spain,Male,67,1,88382.01,1,no,yes,59457,no
White,812,France,Male,44,4,115049.15,2,yes,no,165038.41,no
Wall,685,France,Male,58,1,104796.54,1,yes,yes,154181.41,no
Moretti,680,France,Male,33,1,123082.08,1,yes,no,134960.98,no
Patterson,680,Spain,Female,58,8,0,2,yes,yes,65708.5,no
Coppin,631,France,Female,33,8,0,2,no,no,117374.22,no
Tsao,569,France,Female,43,7,0,2,yes,yes,77703.19,no
Kao,584,Germany,Male,33,3,88311.48,2,yes,yes,177651.38,no
Stewart,582,France,Female,40,9,0,3,yes,yes,60954.45,no
Tuan,609,France,Male,32,7,71872.19,1,yes,yes,151924.9,no
Barnes,506,Spain,Male,35,6,110046.93,2,yes,no,26318.73,no
Sun,503,France,Male,42,8,104430.08,1,yes,yes,147557.71,no
Fallaci,503,France,Female,28,5,0,2,yes,no,125918.17,no
Buccho,806,Germany,Male,31,10,138653.51,1,yes,no,190803.37,no
Tien,653,France,Female,31,7,102575.04,1,yes,yes,11043.54,no
Pirozzi,666,France,Male,43,7,137780.74,2,yes,yes,119100.05,yes
Liu,674,Spain,Male,32,2,0,2,yes,no,140579.17,no
Long,798,France,Male,32,7,0,2,no,yes,37731.95,no
Scott,740,France,Female,30,8,105209.54,1,yes,no,1852.58,no
Gerasimova,531,Germany,Female,32,0,109570.21,2,yes,yes,172049.84,no
Ifeatu,614,Germany,Female,44,6,118715.86,1,yes,no,133591.11,yes
De Luca,556,France,Male,35,10,0,2,yes,yes,192751.18,no
Ogbonnaya,678,Germany,Female,43,2,153393.18,2,yes,yes,193828.27,no
Humffray,587,Germany,Male,33,6,132603.36,1,yes,no,55775.72,no
Degtyaryov,527,Spain,Female,36,6,0,2,yes,yes,102280.29,no
Monaldo,757,Germany,Female,34,1,129398.01,2,no,no,44965.44,no
Cawthorne,468,Spain,Male,28,3,0,2,yes,no,170661.02,no
Graham,693,France,Male,29,2,151352.74,1,no,no,197145.89,no
Carpenter,483,France,Female,44,5,136836.49,1,yes,no,192359.9,yes
Kambinachi,466,France,Male,40,4,91592.06,1,yes,no,141210.18,yes
Tyler,770,France,Female,30,8,0,2,yes,no,100557.03,no
Martin,734,France,Female,54,3,0,1,yes,no,130805.54,yes
Walker,716,France,Female,22,8,0,2,yes,yes,92606.98,no
Khan,439,France,Male,36,2,165536.28,2,yes,yes,123956.83,no
Iroawuchi,538,Germany,Male,25,5,62482.95,1,yes,yes,102758.43,no
Summers,743,France,Male,40,8,68155.59,1,yes,no,94876.65,no
Bottrill,734,Spain,Female,43,3,55853.33,2,no,yes,94811.85,yes
Hu,656,France,Male,37,2,0,2,no,yes,67840.81,no
Jones,666,France,Female,31,2,79589.43,1,no,no,4050.57,no
Vincent,627,Spain,Male,41,5,100880.76,1,no,yes,134665.25,no
Sanford,480,Germany,Female,25,3,174330.35,2,no,no,181647.13,no
Brown,792,France,Male,19,7,143390.51,1,yes,no,33282.84,no
Lei,613,Germany,Male,59,8,91415.76,1,no,no,27965,yes
Toscani,476,Germany,Male,30,3,134366.42,1,yes,no,68343.53,no
Chien,539,France,Female,24,3,0,2,yes,yes,198161.07,no
Uchenna,696,Spain,Male,60,8,88786.81,1,yes,yes,196858.4,no
Lori,810,Germany,Male,35,3,96814.46,2,yes,yes,120511.03,no
Fanucci,763,Germany,Male,32,9,160680.41,1,yes,no,30886.35,no
Chimaobim,640,France,Female,29,3,0,2,yes,no,2743.69,no
Jowers,655,France,Female,47,10,0,2,yes,no,167778.62,no
Miller,526,Germany,Male,31,5,145537.21,1,yes,no,132404.64,no
Kirsova,678,France,Female,28,4,0,2,yes,yes,144423.17,yes
T'ien,554,France,Female,45,6,0,2,yes,yes,181204.5,no
Ku,597,Spain,Female,30,2,119370.11,1,yes,yes,182726.22,yes
Chin,560,Spain,Female,28,1,0,2,yes,yes,120880.72,no
Law,850,Germany,Female,47,10,134381.52,1,no,no,26812.89,yes
Chung,546,Germany,Female,74,8,114888.74,2,yes,yes,66732.63,yes
Cockrum,623,Germany,Male,42,1,149332.48,2,yes,no,100834.22,no
Greaves,698,France,Female,40,7,105061.74,3,yes,no,107815.31,yes
Grant,620,France,Male,32,7,0,2,yes,yes,34665.79,no
O'Donnell,619,France,Female,40,10,0,1,yes,yes,147093.84,yes
Maclean,561,France,Male,21,4,0,1,yes,yes,36942.35,no
Hsieh,753,France,Female,39,7,155062.8,1,yes,yes,16460.77,no
Hs?,721,Spain,Male,43,3,88798.34,1,no,no,45610.63,no
Mazzanti,451,France,Male,33,6,0,2,yes,no,184954.11,no
Chiu,680,Germany,Female,51,5,143139.87,1,no,no,47795.43,yes
Reeves,590,Spain,Female,23,7,0,2,yes,no,196789.9,no
Castiglione,634,Germany,Male,27,3,107027.52,1,yes,no,173425.68,no
Ferguson,676,France,Male,29,4,140720.93,1,yes,no,36221.18,no
Nnamdi,642,France,Male,30,8,80964.57,2,yes,no,174738.2,no
Wu,760,France,Male,39,6,178585.46,1,yes,no,67131.3,yes
Chu,736,Spain,Female,26,4,135889.13,1,yes,yes,165692.03,no
King,656,France,Male,43,7,134919.85,1,yes,no,194691.95,no
Charlton,776,Germany,Male,33,8,115130.34,1,no,no,129525.5,yes
Marsh,832,Spain,Female,34,6,138190.13,2,no,yes,146511.2,no
Walker,631,Germany,Male,37,9,131519.49,2,yes,yes,51752.18,no
Chang,795,Spain,Female,56,5,0,1,yes,no,35418.69,yes
Pottinger,648,Germany,Female,39,3,126935.98,2,no,yes,57995.74,no
Buckley,615,France,Male,39,4,133707.09,1,yes,yes,108152.75,no
Folliero,682,France,Female,27,1,97893.2,1,yes,no,166144.98,no
Olisanugo,694,France,Male,34,5,127900.03,1,yes,no,101737.8,no
Kent,694,France,Male,37,10,143835.47,1,no,yes,33326.71,no
Jessop,607,France,Male,44,0,0,2,yes,yes,81140.09,no
Hodge,664,France,Male,48,10,0,1,yes,no,140173.17,yes
Ignatiev,756,France,Male,60,2,0,1,yes,yes,166513.49,yes
Chambers,645,France,Female,40,3,129596.77,1,yes,yes,103232.6,no
Mansom,653,Spain,Male,30,4,0,2,yes,no,120736.04,no
Yen,710,Germany,Female,24,2,110407.44,2,no,no,15832.43,yes
Azikiwe,697,France,Female,76,7,0,2,no,yes,188772.45,no
Allen,619,Germany,Female,41,8,142015.76,2,yes,no,114323.66,no
Komarova,648,Spain,Male,55,1,81370.07,1,no,yes,181534.04,no
Mackay,482,Germany,Female,48,2,69329.47,1,no,no,102640.52,yes
Yu,548,France,Female,28,8,116755.5,2,yes,yes,158585.17,yes
Curtis,752,Spain,Male,44,6,83870.33,1,yes,no,178722.24,no
Fang,648,France,Female,39,6,130694.89,2,yes,yes,153955.38,yes
Page,643,Spain,Female,34,8,117451.47,1,yes,no,65374.86,no
Olisaemeka,573,Germany,Female,35,9,206868.78,2,no,yes,102986.15,no
Brennan,686,France,Female,39,3,111695.62,1,no,no,136643.84,no
Sutton,644,France,Female,40,9,137285.26,4,yes,no,77063.63,yes
Hyde,702,France,Female,29,6,149218.39,1,yes,yes,9633.01,no
Nkemakolam,652,France,Male,51,7,0,2,no,yes,43496.36,no
Chimaijem,641,Spain,Male,32,7,0,2,yes,yes,24267.28,no
Sung,692,Germany,Female,41,8,130701.29,1,yes,no,59354.24,yes
Chiganu,574,Spain,Male,34,5,0,2,no,no,28269.86,no
Beneventi,643,France,Female,31,3,167949.48,1,yes,no,143162.34,no
Esposito,834,France,Male,23,4,131254.81,1,yes,no,20199.3,no
Owen,591,France,Male,28,5,0,2,yes,yes,48606.92,no
Smalley,470,Spain,Male,34,9,0,2,no,yes,89013.67,no
Hsiung,608,Spain,Male,34,7,86656.13,1,no,yes,59890.29,no
Ch'ang,649,Germany,Female,37,8,114737.26,1,yes,yes,106655.88,yes
Barton,665,France,Female,38,5,0,2,yes,no,156439.56,no
Lucchese,651,France,Female,39,6,0,1,yes,no,24176.44,no
Hsia,555,Germany,Male,62,4,119817.33,1,no,yes,43507.1,yes
Pope,637,France,Female,48,7,130806.99,2,yes,yes,132005.85,yes
Horrocks,675,France,Female,49,0,0,1,yes,yes,80496.71,yes
Tai,677,Spain,Male,40,5,0,2,yes,no,88947.56,no
Chikezie,850,Germany,Female,35,2,80931.75,1,no,no,12639.67,yes
Frye,815,France,Female,56,3,0,3,yes,yes,94248.16,yes
Toscani,665,Germany,Male,32,1,132178.67,1,no,no,11865.76,no
Mellor,485,France,Female,27,3,0,2,yes,no,141449.86,no
Kang,577,Spain,Male,43,6,0,2,yes,yes,149457.81,no
Sutherland,586,France,Female,35,7,164769.02,3,yes,no,119814.25,yes
Hs?,722,Germany,Male,29,1,107233.85,2,yes,no,24924.92,no
Ting,528,France,Female,27,7,176227.07,2,no,yes,139481.53,no
Chuang,542,France,Female,39,4,109949.39,2,yes,yes,41268.65,no
Chu,552,France,Female,34,5,0,2,yes,yes,1351.41,no
Ozoemena,678,France,Female,60,10,117738.81,1,yes,no,147489.76,yes
Howells,575,Spain,Female,37,9,133292.45,1,yes,no,111175.09,no
Lucchese,669,France,Female,43,1,160474.59,1,yes,yes,95963.14,no
Nnonso,636,France,Male,43,6,0,2,yes,no,43128.95,no
Gerasimova,667,Germany,Male,55,9,154393.43,1,yes,yes,137674.96,yes
Woronoff,652,Germany,Female,45,9,110827.49,1,yes,yes,153383.54,yes
Wilhelm,637,Germany,Female,36,10,145750.45,2,yes,yes,96660.76,no
Nebechukwu,516,Spain,Female,45,8,109044.3,1,no,yes,115818.16,no
Anenechukwu,801,France,Female,32,4,75170.54,1,yes,yes,37898.5,no
Meredith,692,France,Female,42,2,0,2,yes,no,145222.93,no
Chinomso,585,France,Female,28,6,105795.9,1,yes,yes,41219.09,no
Stephenson,590,France,Male,32,5,0,2,yes,no,59249.83,no
Chimaoke,554,Spain,Male,66,8,0,2,yes,yes,116747.62,no
Winters,659,France,Female,49,1,0,1,yes,no,116249.72,yes
Napolitani,690,France,Female,26,3,118097.87,1,yes,no,61257.83,no
L?,697,Germany,Male,29,0,172693.54,1,no,no,141798.98,no
Williams,610,France,Male,36,4,129440.3,2,yes,no,102638.35,no
Giles,599,Spain,Male,36,4,0,2,no,no,13210.56,no
Wang,544,France,Male,23,1,96471.2,1,yes,no,35550.97,no
Robertson,548,France,Female,46,1,0,1,yes,yes,104469.06,yes
Murray,635,Spain,Male,24,4,140197.18,1,yes,yes,142935.83,no
Greco,722,France,Male,20,6,0,2,yes,no,195486.28,no
Marchesi,564,France,Female,33,4,135946.26,1,yes,no,63170,no
Chao,719,France,Male,69,3,0,2,yes,yes,58320.06,no
Hawthorn,547,Germany,Male,50,3,81290.02,3,no,yes,177747.03,yes
Bibi,850,France,Female,42,8,0,1,yes,no,19632.64,yes
Hawdon,515,Germany,Male,60,9,113715.36,1,yes,no,18424.24,yes
Moss,667,Spain,Male,56,2,168883.08,1,no,yes,18897.78,no
Briggs,607,Germany,Male,36,8,143421.74,1,yes,no,97879.02,no
McIntyre,525,France,Male,26,7,153644.39,1,yes,yes,63197.88,no
Russo,606,Spain,Female,53,1,109330.06,1,yes,yes,75860.01,no
Ballard,686,Germany,Female,27,1,115095.88,2,no,no,78622.46,no
Hs?,611,France,Male,35,10,0,1,yes,yes,23598.23,yes
Pisani,827,Spain,Male,46,1,183276.32,1,yes,yes,13460.27,no
Tao,572,France,Male,33,9,68193.72,1,yes,no,19998.31,no
Thomson,726,France,Female,32,8,0,2,no,no,185075.63,no
Hsu,579,Germany,Male,31,6,139729.54,1,no,yes,135815.38,no
Morrison,598,Spain,Female,56,4,98365.33,1,yes,yes,44251.33,no
Joslin,663,France,Male,36,10,0,2,yes,no,136349.55,no
Scott,505,Germany,Female,37,10,122453.97,2,yes,yes,52693.99,no
Bidwill,576,Germany,Male,30,7,132174.41,2,no,no,93767.03,no
Cameron,555,Spain,Female,24,2,0,2,no,yes,197866.55,no
Cartwright,524,France,Male,30,1,0,2,yes,no,126812.85,no
Yao,776,Spain,Male,39,2,104349.45,1,no,no,79503.05,no
Tate,645,Germany,Female,41,2,138881.04,1,yes,no,129936.53,yes
Neal,850,Germany,Female,32,0,116968.91,1,no,no,175094.62,no
Yao,603,Germany,Male,35,1,105346.03,2,yes,yes,130379.5,no
Burns,691,France,Male,26,9,136623.19,1,yes,no,153228,no
Onyinyechukwuka,583,France,Female,29,10,0,2,yes,yes,111285.85,no
Fulks,584,France,Female,66,5,0,1,yes,no,49553.38,yes
Christie,679,France,Female,33,6,0,2,yes,yes,98015.85,no
Lloyd,646,France,Male,36,6,124445.52,1,yes,no,88481.32,no
Ball,559,France,Female,34,5,68999.66,2,yes,yes,66879.27,no
Genovesi,595,Spain,Male,36,6,85768.42,1,yes,yes,24802.77,no
Alexander,527,France,Male,47,1,0,1,yes,no,21312.16,yes
Siciliano,684,Spain,Male,34,9,100628,2,yes,yes,190263.78,no
Ositadimma,673,Spain,Female,32,0,0,1,yes,yes,72873.33,no
Kazantsev,802,Spain,Male,38,7,0,2,no,yes,57764.65,no
Giles,675,France,Male,54,6,0,1,yes,no,110273.84,yes
Hao,762,Spain,Female,19,6,0,2,yes,no,55500.17,no
Martin,580,France,Male,50,0,125647.36,1,yes,no,57541.08,yes
Hartley,621,Germany,Female,31,8,100375.39,1,yes,yes,90384.26,no
Allan,411,France,Female,36,10,0,1,no,no,120694.35,no
Dolgorukova,815,France,Male,24,7,171922.72,1,no,yes,178028.96,no
Nnamdi,631,Germany,Female,32,2,146810.99,2,yes,yes,180990.29,no
Romano,514,Germany,Female,45,3,109032.23,1,no,yes,155407.21,yes
Chuang,638,France,Male,57,6,0,1,yes,no,33676.48,yes
Owen,791,Spain,Male,25,7,0,1,yes,no,89666.28,no
Singh,516,France,Male,35,5,128653.59,1,yes,no,127558.26,no
Nwagugheuzo,734,France,Male,37,3,80387.81,1,no,yes,77272.62,no
Shipton,611,France,Male,58,8,0,2,no,yes,107665.68,yes
Paterson,850,Germany,Male,43,0,108508.82,3,yes,no,184044.8,yes
Rivas,641,France,Male,31,10,155978.17,1,yes,no,91510.71,no
Lung,585,France,Female,38,5,0,1,yes,yes,87363.56,no
Allan,552,Germany,Male,50,4,121175.56,1,yes,no,117505.07,yes
Fetherstonhaugh,507,France,Female,29,4,89349.47,2,no,no,180626.68,no
Lung,735,Spain,Male,38,7,86131.71,2,no,no,93478.96,no
Davidson,707,France,Female,58,3,102346.86,1,yes,yes,114672.64,no
Mai,698,Germany,Female,36,7,121263.62,1,yes,yes,13387.88,no
Dellucci,841,France,Male,31,2,0,2,yes,no,173240.52,no
