Surname,Estimated Salary,Is Active Member,Credit Score,Geography,Gender,Age,Balance,Tenure,Number Of Products,Has Cr Card,Exited
Wright,65682.93,no,619,France,Female,35,132292.63,8,1,yes,no
Chung,117232.9,no,760,Germany,Female,49,91502.99,9,1,yes,yes
Kellway,105533.96,yes,739,Germany,Male,29,59385.98,3,2,yes,no
Sopuluchi,81514.06,yes,641,France,Male,77,0,9,3,yes,no
Potter,23631.55,yes,594,France,Female,49,0,4,2,yes,no
Matthews,105433.53,yes,557,Spain,Female,40,0,4,2,no,no
Nicholls,90591.15,no,697,France,Male,27,141223.68,8,2,yes,no
McDonald,127014.32,yes,656,France,Male,18,151762.74,10,1,no,no
Fiorentini,90905.26,yes,712,Germany,Male,43,141749.74,1,2,no,no
Miah,15467.98,no,697,France,Female,25,165686.11,4,2,yes,no
Builder,79915.28,no,589,France,Male,38,0,2,1,yes,no
Baddeley,69361.95,no,525,Spain,Female,25,0,10,2,yes,no
Hs?,7597.83,yes,617,France,Female,28,0,0,2,yes,yes
Ford,116957.6,no,680,France,Male,32,92961.61,5,1,yes,no
Todd,157884.83,yes,662,Spain,Female,30,0,9,2,no,no
Johnston,77981.54,yes,736,Germany,Male,46,130812.91,5,1,yes,yes
Obiajulu,126369.55,yes,657,Germany,Male,57,107174.58,8,1,yes,yes
Azubuike,191973.49,yes,350,Spain,Male,54,152677.48,1,1,yes,yes
Padovesi,142940.39,no,617,France,Male,30,132005.77,3,1,yes,no
Farmer,48869.67,no,562,France,Male,35,0,7,1,no,no
Ignatieff,73131.73,yes,705,Spain,Female,23,0,5,2,yes,no
Lu,120037.36,yes,516,France,Female,33,127305.5,7,1,yes,no
Artemiev,193995.37,no,573,France,Female,37,0,6,2,yes,no
Okonkwo,179453.66,no,538,Spain,Female,31,0,0,2,no,no
Dore,80963.92,no,699,France,Male,39,0,9,1,yes,no
T'ang,15658.99,yes,504,Germany,Male,32,170291.22,8,2,no,no
Ashbolt,92708.1,no,583,Spain,Male,47,102562.23,5,1,yes,no
Bazarova,26542.17,no,712,Spain,Male,53,111061.01,2,2,no,no
Buccho,65010.74,yes,626,Spain,Male,62,0,3,1,yes,no
Burn,106892.91,no,631,France,Female,34,124379.14,4,1,yes,no
Andreyev,185210.63,yes,663,France,Female,37,0,7,1,yes,no
Endrizzi,4035.46,no,506,Germany,Female,41,57745.76,3,1,yes,no
Brown,177805.44,no,570,Germany,Female,50,129293.74,5,1,yes,yes
Okeke,114732.62,no,698,Germany,Female,40,150777.1,8,1,yes,no
Cunningham,22299.27,no,731,Spain,Male,41,0,4,2,yes,no
Kelley,197283.2,no,625,France,Male,34,0,6,2,no,no
Woods,17699.48,yes,616,France,Male,59,153861.1,5,1,yes,no
Cisneros,133292.94,no,446,France,Male,32,0,8,2,no,no
Borchgrevink,58170.24,no,669,France,Female,47,61196.54,9,1,yes,no
Bradley,145071.33,no,704,Germany,Female,54,133656.91,6,3,yes,yes
Obialo,85495.24,yes,748,France,Male,44,92911.52,2,1,no,no
Veltri,10511.13,no,655,France,Female,37,111852.84,7,2,yes,no
Thorpe,193383.13,yes,695,Germany,Male,40,139022.24,7,1,no,no
Golibe,189826.96,no,700,Germany,Female,40,148571.07,4,1,yes,yes
Udinesi,144113.42,yes,773,France,Male,52,0,4,1,no,no
Stewart,143538.51,yes,749,France,Male,42,129776.72,1,2,no,no
Hayden,183717.94,yes,606,Spain,Female,46,0,8,2,yes,no
H?,92180.62,no,554,France,Male,24,0,10,1,no,no
Campbell,28690.9,yes,567,France,Female,37,0,7,2,yes,no
Green,85891.02,no,559,Spain,Male,24,114739.92,3,1,yes,yes
P'eng,42050.24,yes,594,Germany,Male,41,122545.65,2,2,yes,no
Cremonesi,110142.34,no,513,France,Female,37,0,6,2,yes,no
Liang,179269.79,yes,652,Germany,Female,26,131908.35,1,1,yes,no
Gough,90558.24,yes,680,Germany,Female,42,105722.69,7,1,yes,yes
Padovesi,66926.83,no,812,Spain,Female,44,0,8,3,yes,yes
Yin,108891.3,no,784,Spain,Female,40,0,8,2,yes,no
Kharlamov,71811.9,no,570,France,Female,18,82767.42,4,1,yes,no
Nicholls,92223.59,no,712,France,Female,42,87842.98,1,1,no,no
Fleming,59679.9,yes,681,Spain,Female,32,0,3,2,yes,no
Watson,85000.32,no,620,France,Male,41,97925.11,0,1,yes,no
Obiajulu,159808.95,yes,711,France,Male,52,0,5,1,yes,no
Han,129001.3,no,613,France,Female,24,140453.91,7,1,yes,no
Ferguson,113557.7,no,613,Germany,Female,20,117356.19,0,1,no,yes
Tao,147758.51,yes,682,Spain,Male,36,0,5,2,yes,no
Le Grand,28865.59,yes,850,Spain,Male,37,137204.77,4,1,yes,no
Valdez,160607.06,yes,601,France,Female,41,0,1,2,no,no
Cunningham,100015.79,no,595,Spain,Male,35,0,8,1,yes,yes
Godfrey,54478.52,yes,675,Spain,Male,36,54098.18,3,2,no,no
Pirozzi,106981.03,yes,554,Spain,Female,34,0,8,1,no,no
Feng,73551.44,yes,541,France,Male,37,118636.92,9,1,yes,no
Akabueze,115842.1,no,506,France,Male,34,0,7,2,no,no
Robson,107013.59,no,814,Germany,Male,44,95488.82,8,2,no,no
Yevdokimova,24938.84,no,683,France,Male,30,110829.52,8,2,no,no
Ijendu,51113.14,no,485,Germany,Male,51,144244.59,7,2,yes,no
Colombo,33828.64,no,696,Germany,Female,31,122021.92,8,2,yes,no
Akubundu,128875.86,no,608,France,Female,30,0,8,2,yes,no
Francis,194700.81,yes,792,France,Male,50,0,9,4,yes,yes
Marshall,158974.45,no,686,Spain,Male,22,0,5,2,yes,no
Rhodes,198182.73,no,790,Germany,Male,42,85839.62,1,1,yes,no
Y?,141404.07,yes,654,France,Female,29,96974.97,4,1,no,no
Kerr,126876.47,no,719,Spain,Male,38,0,0,1,yes,no
Jideofor,41052.82,no,707,France,Female,40,0,5,2,yes,no
Robertson,105760.01,no,699,France,Female,49,0,2,1,no,no
Mackay,102180.27,yes,850,Germany,Male,30,123210.56,5,2,yes,no
Milano,162478.11,no,730,Germany,Male,45,152880.97,6,1,no,no
Dellucci,194808.51,yes,685,Germany,Male,43,108589.47,9,2,no,no
Coles,124045.65,yes,809,Spain,Male,33,0,9,1,yes,no
Macvitie,133653.38,no,648,Spain,Male,32,0,8,1,yes,no
Pope,33330.89,yes,805,Germany,Female,33,105663.56,3,2,no,no
Thomson,178361.04,yes,595,Spain,Female,30,100683.54,5,1,yes,no
Chiazagomekpele,162697.93,no,630,France,Male,42,0,6,2,yes,no
Wright,23146.62,yes,631,Germany,Female,37,121801.72,2,2,no,no
Lung,89893.6,yes,776,Germany,Male,38,112281.7,5,1,no,no
Lombardo,3173.31,yes,676,Spain,Female,36,0,4,2,yes,no
Leonard,123218.81,no,758,Spain,Female,40,93499.82,5,2,no,no
Johnston,74588.41,yes,637,France,Male,33,132255.99,0,2,no,no
P'eng,31288.77,no,850,France,Male,20,0,7,2,yes,no
Fang,148804.36,no,735,France,Male,49,121973.28,5,1,yes,no
Vincent,61977.82,no,642,France,Male,30,117494.27,8,1,no,no
Onio,193362.99,no,633,Germany,Female,29,138577.34,0,1,yes,no
Schiavone,47722.79,yes,769,Spain,Male,39,0,9,1,yes,no
Chandler,18510.41,no,796,Spain,Male,41,107525.07,8,1,yes,no
Fiorentino,65057.71,no,715,France,Male,23,139224.92,7,2,yes,no
Butusov,46374.64,no,695,France,Female,42,121453.63,7,1,no,no
Alexeieva,138192.98,no,584,Germany,Female,54,77354.37,1,1,no,yes
Vinogradova,22735.45,yes,476,France,Male,40,0,6,1,yes,no
Ts'ao,75285.47,no,529,France,Male,30,116295.29,2,1,yes,no
Bage,130260.11,yes,584,Spain,Female,59,0,1,1,no,yes
Endrizzi,101069.71,no,552,France,Male,42,133701.07,9,2,yes,yes
Tang,153012.13,yes,601,Germany,Female,33,114430.18,7,2,yes,no
Schroeder,86173.92,no,541,France,Male,29,127504.57,7,1,no,no
Swearingen,197548.63,no,744,Germany,Female,41,84113.41,2,1,yes,no
McGregor,37042.8,no,595,Spain,Female,23,101126.66,10,2,no,no
Onyeorulu,121085.72,no,724,Germany,Male,33,103564.83,5,2,yes,no
Clarke,194113.99,yes,533,Spain,Female,52,0,7,1,no,yes
Kozlova,118711.75,yes,523,Germany,Female,39,143903.11,1,1,yes,yes
Olague,192381.21,no,584,France,Male,35,0,9,2,yes,no
Holt,136507.69,yes,521,France,Male,38,110641.18,5,1,no,yes
Olsen,138871.12,no,662,France,Female,36,166909.2,4,2,yes,yes
Mazzi,60728.89,yes,758,France,Female,34,154139.45,1,1,yes,no
Niu,189175.71,no,717,France,Male,38,97459.06,7,1,no,no
Millar,36706.56,yes,766,Germany,Male,43,112088.04,6,2,yes,no
Bell,44756.25,yes,636,France,Female,34,0,3,2,yes,no
Kelly,132870.15,yes,814,France,Female,48,0,7,2,yes,no
T'an,16287.38,no,760,Spain,Male,28,141038.57,1,2,no,no
Dumetochukwu,88669.89,yes,600,France,Male,37,142663.46,1,1,no,no
Giles,160835.3,yes,656,Germany,Male,27,118627.16,4,2,yes,no
O'Meara,24761.36,no,640,Spain,Male,34,137523.02,1,1,no,no
Yao,138526.96,no,439,France,Male,28,110976.23,7,2,yes,no
Wallace,157442.75,no,549,France,Female,38,107283.4,8,1,no,no
T'ien,105295.77,no,622,France,Male,38,0,5,2,no,no
Ndubueze,97782.92,no,715,France,Male,34,124314.45,4,1,no,no
Chukwuraenye,68255.88,yes,657,France,Female,41,95858.37,5,1,yes,no
K'ung,108790.95,no,703,France,Male,36,0,2,2,yes,no
Stevenson,143706.18,no,802,France,Male,33,0,8,2,yes,no
Hayward,95277.15,no,554,France,Female,35,117707.18,6,2,no,yes
Tipton,152956.33,yes,533,Spain,Male,38,135289.33,1,2,no,no
Fraser,87308.18,yes,713,Germany,Male,40,114446.84,3,2,yes,no
Fang,83978.86,no,711,Spain,Male,37,0,2,2,yes,yes
Dubinina,37543.93,no,669,France,Male,25,157848.53,1,1,no,yes
Morey,104889.3,yes,439,France,Female,43,0,8,1,no,no
Todd,149705.25,yes,763,Spain,Female,37,0,6,2,yes,no
Forbes,16445.79,yes,697,Germany,Female,74,108071.36,3,2,yes,no
De Salis,54689.16,no,702,Spain,Female,35,14262.8,8,2,yes,no
Barry,194913.86,yes,686,Spain,Male,41,102749.72,7,1,no,no
Afamefuna,146371.72,yes,629,Spain,Male,36,161757.87,1,2,yes,no
Ibbott,156603.7,no,823,France,Male,38,0,1,2,yes,no
Pinto,36579.53,no,647,Germany,Male,44,93960.35,4,1,yes,yes
McKay,143030.09,yes,850,Spain,Female,39,0,10,2,yes,no
Otutodilinna,62700.08,yes,713,France,Female,59,0,3,2,yes,no
She,99017.34,yes,452,France,Male,30,112935.87,7,1,yes,no
Kruglov,123454.62,no,577,France,Female,26,180530.51,1,1,no,no
Chin,10921.5,yes,552,France,Male,33,140931.57,5,1,no,no
King,53817.23,no,769,Germany,Female,31,148913.72,7,2,yes,no
Hansen,81617.4,no,691,France,Male,38,0,7,2,no,no
Stone,143882.25,no,739,France,Male,41,0,5,2,no,no
McLean,53130.41,yes,639,France,Female,50,115335.32,6,2,yes,no
Fu,111906,yes,779,France,Female,26,0,0,2,no,no
Trevisano,113177.95,no,850,Germany,Female,33,134678.13,7,1,yes,no
Wiley,18800.13,yes,579,Germany,Male,31,90547.48,2,2,yes,no
Chiagoziem,46127.7,yes,510,France,Male,32,103324.78,9,1,yes,no
Murray,75585.48,no,531,France,Male,29,114590.58,3,1,no,no
Chuang,63085.94,no,628,Germany,Female,36,91286.51,3,1,yes,no
Huang,74415.2,yes,633,Spain,Male,32,163340.12,5,2,yes,no
Lee,186826.22,no,630,Spain,Male,35,0,1,2,no,no
Theus,162149.07,yes,850,Spain,Female,31,91292.7,4,1,yes,no
Jennings,180150.49,yes,788,Germany,Female,57,93716.72,8,1,yes,yes
Parker,83478.12,yes,798,France,Female,37,111723.08,4,1,yes,no
Tan,26163.74,no,770,Germany,Male,45,110765.68,4,1,yes,yes
Barry,44381.06,yes,569,Germany,Male,25,173459.45,9,2,yes,no
Tuan,136365,yes,425,Spain,Female,22,169649.73,7,2,no,yes
Patterson,99294.22,no,547,Spain,Female,31,0,9,2,no,no
Nash,52526.65,yes,632,France,Female,36,0,7,2,yes,no
Atkinson,32589.45,no,620,France,Male,22,0,0,1,yes,no
Brenan,47161.25,no,663,Germany,Male,32,130627.66,8,1,yes,yes
Obidimkpa,45424.13,yes,700,Spain,Female,46,56580.95,5,2,no,no
Terry,8018.49,yes,696,Germany,Male,38,142316.14,6,1,yes,no
Spring,195668,yes,767,Spain,Male,31,0,6,2,yes,no
Campbell,123602.11,no,350,Germany,Male,39,109733.2,0,2,no,yes
Bellucci,186238.85,yes,706,France,Male,54,117444.51,9,1,yes,no
Amaechi,158668.87,yes,464,Spain,Female,34,76001.57,5,1,yes,no
Foxall,9249.36,no,501,France,Female,34,107747.57,3,1,yes,no
Bentley,116581.1,yes,745,Spain,Female,35,0,8,2,yes,no
Baird,44688.08,no,587,France,Female,36,134997.49,1,2,yes,no
Howard,148608.39,yes,667,France,Female,48,0,2,2,yes,no
Henry,188670.9,yes,737,France,Male,36,0,9,1,no,yes
Sopuluchukwu,107067.37,no,485,Spain,Female,30,0,7,1,yes,no
Rocher,61759.33,yes,590,Spain,Female,37,64345.21,0,1,no,yes
White,192776.64,yes,518,Germany,Female,35,141665.63,8,1,no,no
Komar,46735.19,no,581,Spain,Female,29,0,8,2,yes,no
Russo,169117.74,yes,785,Germany,Female,33,136624.6,5,2,yes,no
Loewenthal,89081.41,yes,799,France,Female,52,161209.66,4,1,yes,no
Montes,128246.81,no,730,France,Female,41,167545.32,4,1,yes,no
Kuo,94554.74,no,740,Germany,Female,36,109044.6,4,1,no,yes
McIntosh,97468.44,no,527,Spain,Female,29,27755.97,2,1,yes,yes
T'ao,164137.36,yes,544,France,Female,29,118560.55,1,1,yes,no
Tyndall,191313.7,yes,705,France,Male,61,0,4,2,yes,no
Bailey,65257.57,yes,684,France,Male,34,0,9,2,yes,no
Onyekaozulu,178222.77,yes,639,Spain,Female,28,97840.72,8,1,yes,no
Nwachukwu,179445.28,yes,565,Germany,Female,38,158651.29,2,2,yes,no
Romani,65500.53,no,481,France,Male,44,175303.06,9,1,yes,yes
Chin,97877.92,no,731,Spain,Male,25,96950.21,8,1,yes,no
Christmas,105969.05,yes,760,France,Female,32,0,7,2,yes,no
Moore,122996.76,yes,559,France,Female,70,0,9,1,yes,no
Genovesi,68087.15,yes,715,France,Female,33,85227.84,3,1,yes,no
Cartwright,21478.36,yes,656,France,Male,36,97786.08,8,2,no,no
Johnstone,158437.73,no,652,Germany,Male,33,128135.99,7,1,yes,no
Warner,76551.7,no,624,Spain,Male,33,0,6,2,no,no
Stephenson,15887.68,no,634,Spain,Male,36,85996.19,2,1,yes,no
Ellis,33741.84,yes,850,Spain,Female,50,0,10,2,yes,no
Nebechi,20652.69,no,659,Germany,Female,39,104502.11,1,1,yes,no
Chu,112781.5,yes,529,Spain,Male,35,95772.97,5,1,yes,no
Quaife,185211.28,no,770,Spain,Male,55,63127.41,9,2,yes,yes
Yeh,139048,yes,579,France,Male,31,0,9,1,no,no
Conti,14721.8,yes,530,Spain,Female,36,0,2,2,yes,no
Holder,3430.38,yes,831,France,Male,30,0,2,2,no,no
Burgess,160450.21,yes,790,Germany,Male,24,107418.27,7,1,no,no
De Luca,19720.08,yes,563,Spain,Male,32,0,6,2,yes,no
Pisani,163691.48,yes,429,France,Male,60,0,7,2,yes,no
Ignatieff,115147.33,yes,665,France,Female,23,143672.9,9,1,yes,no
Lahti,74945.11,yes,731,France,Male,33,0,4,2,yes,no
Conway,196021.73,no,634,Germany,Female,31,76798.92,8,1,no,no
Hayes,125979.36,yes,488,France,Male,34,0,3,2,yes,no
Rizzo,111421.77,no,535,Spain,Female,49,115309.75,7,1,yes,no
Krylov,115818.51,yes,776,France,Female,29,178171.04,7,2,yes,no
Li Fonti,179360.76,yes,850,Spain,Female,38,0,3,2,no,no
Matthias,192744.23,yes,850,Germany,Female,45,127258.79,5,1,yes,yes
Ch'eng,124641.42,yes,570,France,Female,33,0,8,1,yes,no
Mason,54871.02,yes,796,Spain,Male,67,0,5,2,no,no
Smeaton,45570.84,yes,752,Spain,Male,36,0,2,2,yes,no
Miller,182336.45,yes,625,Spain,Female,69,107569.96,1,1,yes,no
Gotch,118825.56,yes,535,Germany,Male,20,134874.4,9,1,yes,no
Fu,103372.79,no,786,France,Female,29,0,4,2,yes,no
Ledford,40062.99,yes,605,Spain,Female,48,0,6,2,yes,no
Iadanza,46175.7,no,670,Spain,Female,32,0,3,2,yes,no
Saunders,5967.09,no,595,France,Male,41,0,9,2,yes,no
Lin,122134.56,no,687,Germany,Female,29,78939.15,4,1,yes,yes
Pinto,62972.13,yes,757,Germany,Male,30,105128.85,6,2,yes,no
Shaw,192841.13,yes,503,Spain,Male,25,0,7,1,no,no
Chen,33310.72,no,543,Germany,Male,48,100900.5,1,1,no,yes
Barclay,72876.43,no,428,Germany,Female,40,129248.11,3,2,yes,yes
Kodilinyechukwu,50911.41,yes,768,France,Female,28,109118.05,3,2,no,no
Otitodilichukwu,142400.27,yes,618,France,Male,56,0,7,1,yes,yes
McKenzie,48778.46,yes,591,France,Female,31,0,7,2,no,no
Woods,156361.58,no,658,France,Female,35,126397.66,5,1,no,yes
Hsing,133807.77,no,625,France,Male,36,108546.16,9,3,yes,yes
Pearson,182270.88,yes,693,France,Male,31,0,1,2,no,no
L?,49954.79,no,484,Germany,Male,54,134388.11,3,1,no,yes
Padovesi,141896.74,no,632,Spain,Female,40,109740.62,3,1,yes,no
Soto,120661.71,no,536,Germany,Male,23,92366.72,6,2,yes,no
Greco,149814.68,no,573,France,Female,26,129109.02,4,1,no,yes
Giordano,41782.7,yes,655,Spain,Female,56,0,5,2,yes,no
Bogle,46172.47,yes,666,Germany,Male,74,105102.5,7,1,yes,no
Grimmett,2704.09,no,726,Germany,Male,30,111375.32,5,2,yes,no
Ayers,6726.53,no,523,France,Male,39,0,3,2,yes,no
Miller,170764.08,no,728,Germany,Female,33,150412.14,9,2,yes,no
Webb,45742.42,no,701,France,Male,30,156660.72,3,2,yes,no
Lombardi,162304.59,yes,518,France,Male,38,90957.81,3,1,no,no
Wei,80883.82,yes,739,France,Male,37,104960.46,7,1,no,no
Ross,118508.09,no,531,Germany,Female,31,117052.82,7,1,yes,yes
Jideofor,69697.74,no,452,Spain,Male,44,88915.85,3,1,yes,no
King,183575.01,no,684,France,Male,45,148071.39,6,1,yes,no
Humphries,143752.77,no,783,Spain,Male,39,0,9,2,yes,no
Olisaemeka,121894.31,no,734,France,Male,22,130056.23,5,1,no,yes
Yobanna,147055.87,yes,648,Germany,Male,34,95039.73,3,2,yes,no
Ch'iu,172033.57,yes,688,France,Male,52,0,1,2,yes,no
Fleming,143774.06,no,680,Spain,Male,35,0,9,2,no,no
Trevisan,139366.58,yes,516,France,Female,43,112773.73,2,2,yes,no
Aleksandrova,81776.84,no,680,France,Female,37,123806.28,10,1,yes,yes
Onwuamaeze,190998.96,no,604,France,Male,53,144453.75,8,1,yes,yes
Knox,4470.52,yes,624,Germany,Male,27,94667.29,9,2,no,no
Chia,135851.3,yes,623,France,Male,21,0,10,2,no,no
Townsend,172372.63,yes,624,Spain,Male,51,174397.21,5,2,yes,no
Moyes,128124.7,yes,565,France,Male,55,118803.35,4,2,yes,yes
Tretiakova,149807.01,no,645,France,Male,42,0,6,1,no,no
Fuller,54290.62,no,707,France,Male,33,136678.52,8,1,yes,no
Dellucci,86013.96,no,655,Spain,Female,36,135515.76,1,1,yes,no
Douglas,66680.77,no,578,Germany,Male,34,147487.23,8,2,yes,no
Kung,98640.15,no,800,France,Female,40,97764.41,5,1,yes,yes
MacDonald,142797.5,no,612,France,Female,33,0,9,1,no,yes
Okwudilichukwu,163581.67,yes,681,Germany,Female,48,139480.18,8,1,yes,no
Ni,163221.22,yes,559,Spain,Male,25,0,5,2,yes,no
Simmons,12440.44,no,488,Spain,Female,39,140553.46,9,1,no,no
H?,145551.6,yes,717,France,Female,36,0,5,2,yes,no
Hancock,50908.48,no,666,France,Female,41,141162.08,10,1,yes,no
Cran,30149.21,no,582,Spain,Male,26,65848.36,4,2,yes,no
P'an,156381.47,no,693,France,Male,41,0,4,2,no,no
Parkhill,178123.86,no,694,France,Female,33,129731.64,4,2,yes,no
Golubova,51112.8,no,622,France,Female,35,0,5,2,yes,no
Johnson,174770.14,no,717,Spain,Male,35,0,1,3,no,yes
Mao,172063.09,no,494,Germany,Male,37,107106.33,5,2,yes,no
Echezonachukwu,155294.17,yes,644,France,Male,33,0,8,2,yes,no
Rosas,134260.34,yes,476,Spain,Female,69,105303.73,1,1,no,no
Morris,164741.5,yes,531,Spain,Female,45,126495.57,1,2,yes,no
Pavlova,63051.32,no,719,Spain,Female,47,116393.59,9,1,yes,yes
Yamamoto,55725.04,yes,738,France,Male,54,0,4,1,no,yes
Angelo,163145.5,no,563,Spain,Female,46,106171.68,8,1,yes,yes
Zaitsev,57992.49,yes,695,Spain,Male,28,96020.86,0,1,yes,no
Cawker,193093.77,yes,841,Spain,Male,41,0,1,2,no,no
Froggatt,57531.14,yes,626,Germany,Male,36,181671.16,2,2,yes,no
Gorbunov,77242.19,yes,613,France,Female,29,185709.28,6,2,yes,no
Rowe,63405.2,no,705,France,Female,49,0,7,1,yes,yes
Mikkelsen,106564.88,yes,584,France,Female,44,95671.75,5,2,yes,no
Kovalyov,42763.12,no,534,France,Male,62,0,2,2,no,yes
Mbanefo,168753.34,yes,672,France,Female,34,142151.75,1,2,yes,no
Ts'ai,19483.35,yes,603,France,Male,43,127823.93,5,1,yes,no
Enderby,158646.46,yes,633,Germany,Male,43,144164.29,3,1,yes,no
Lombardi,83172.19,yes,842,France,Male,58,63492.94,1,1,yes,no
Hamilton,76889.79,yes,661,France,Female,27,0,3,2,yes,no
Mao,105570.39,yes,632,France,Male,41,106134.46,0,1,no,no
Ugochukwu,79495.01,yes,684,Germany,Male,29,127269.75,8,1,no,no
West,52583.79,yes,785,Germany,Female,32,124493.03,3,2,no,yes
Hughes,26848.25,no,687,France,Male,39,0,7,2,yes,no
Chukwuemeka,10072.55,yes,705,Germany,Female,43,146547.78,10,1,no,yes
Li,104016.61,no,729,Germany,Male,46,117837.43,5,1,yes,yes
Castiglione,151310.16,yes,556,Spain,Female,48,168522.37,8,1,yes,no
Paterson,62810.91,yes,570,France,Male,32,117337.54,9,2,no,no
Blair,60830.38,yes,841,France,Male,74,108131.53,9,1,no,no
Dellucci,116672.02,no,705,Germany,Male,35,136496.12,4,2,yes,no
Udinesi,77304.49,no,553,France,Male,32,116324.53,3,1,yes,no
Yuan,52894.01,yes,779,Germany,Female,40,75470.23,2,1,yes,no
Yuryeva,116471.43,yes,696,France,Male,28,172646.82,4,1,yes,no
Wilson,4539.38,no,728,Spain,Female,37,0,4,1,no,no
Kent,188258.49,no,627,Germany,Female,30,57809.32,6,1,yes,no
Vasiliev,197322.13,no,716,Germany,Female,18,128743.8,3,1,no,no
Golibe,80241.14,no,501,Germany,Male,24,130806.42,4,2,yes,no
Fedorova,38410.74,no,545,Spain,Female,39,0,6,1,no,yes
Chien,17622.82,no,634,France,Male,45,0,9,2,no,no
Samson,88958.49,no,655,France,Female,59,0,7,1,yes,yes
Fenton,116343.09,no,458,France,Female,39,0,9,2,yes,no
Mackey,166102.61,yes,520,France,Male,33,156297.58,4,2,yes,no
Payton,104353.26,yes,624,Spain,Female,28,0,2,2,no,no
Banks,178106.34,no,667,Germany,Female,37,92171.35,5,3,yes,yes
Pugliesi,132152.32,no,665,Spain,Male,41,0,8,2,yes,no
Fantin,21521.38,yes,709,Germany,Male,34,148375.19,4,2,yes,no
Bentley,27431.62,yes,583,France,Female,44,0,8,2,yes,no
Freeman,42143.61,yes,782,Spain,Male,34,147422.44,6,1,no,no
Wong,106457.11,no,668,Spain,Female,24,173962.32,7,1,no,yes
Onwuamaeze,133831.37,yes,621,France,Male,47,0,0,1,yes,yes
Shen,164083.72,yes,579,Germany,Female,64,145215.43,6,1,yes,no
Huang,159207.34,yes,547,France,Female,38,167539.97,5,1,no,no
Yeh,84487.62,no,840,France,Female,39,94968.97,1,1,yes,no
Henderson,12092.03,yes,723,France,Male,34,0,5,2,no,no
Fang,77475.73,no,487,France,Male,45,0,2,2,yes,no
Dellucci,41291.73,no,668,France,Female,31,0,9,2,no,no
Chou,343.38,yes,520,Germany,Male,34,120018.86,8,2,yes,no
Conti,47432.43,no,549,France,Male,37,112541.54,2,2,no,no
Roberts,127827.18,no,567,France,Female,35,166118.45,5,2,yes,no
Lo Duca,35633.15,yes,720,France,Female,45,102882.4,1,2,yes,yes
Glover,182865.09,yes,492,France,Female,49,0,8,1,yes,yes
Johnstone,169386.81,no,712,France,Female,37,106881.5,1,2,no,no
Ashton,149073.88,yes,689,Germany,Male,26,120727.97,4,1,no,no
Melton,184107.26,no,850,France,Male,63,169832.57,8,1,no,yes
Kenenna,11950.29,no,469,Germany,Male,38,113599.42,9,1,no,no
Zakharov,152880.07,yes,539,Spain,Male,38,0,6,1,yes,yes
Chukwualuka,175252.78,no,743,France,Male,32,0,9,2,yes,no
Capon,80701.72,yes,581,Spain,Female,50,0,4,2,yes,no
Cattaneo,198516.2,no,737,Spain,Male,38,146282.79,6,2,yes,no
Taylor,82824.08,yes,703,Germany,Female,29,122084.63,3,1,no,no
Stephenson,179866.01,no,588,Germany,Female,35,103060.63,1,1,yes,yes
Yeh,159899.97,yes,765,France,Male,44,0,6,2,yes,no
Browne,58961.49,yes,744,France,Male,31,120718.28,9,1,yes,no
Collingridge de Tourcey,103644.98,no,658,Spain,Female,31,36566.96,2,1,yes,yes
Rowe,119647.7,yes,629,Germany,Male,28,108601,8,1,yes,no
Korovin,152979.14,yes,686,Spain,Female,36,0,5,2,yes,no
Hammonds,190911.02,yes,743,France,Male,36,0,4,2,yes,no
Ward,95794.98,yes,626,Spain,Female,48,0,2,2,yes,no
Olisanugo,189742.78,no,661,Germany,Male,44,141136.62,1,1,yes,yes
Gartrell,183872.88,no,654,France,Male,40,0,6,1,no,yes
K'ung,196555.32,no,569,Spain,Female,34,144855.34,6,1,no,no
Oluchi,112503.24,yes,640,France,Male,63,68432.45,2,2,yes,yes
White,125167.92,yes,456,Germany,Male,32,133060.63,9,1,yes,no
Stewart,177519.39,yes,811,Spain,Male,39,0,7,2,yes,no
Benson,118372.55,no,423,France,Female,36,97665.61,5,1,yes,yes
Thompson,16481.12,no,594,Germany,Male,28,185013.02,5,1,yes,no
Todd,138525.19,yes,725,Spain,Female,32,0,0,2,yes,no
Burgin,14608,no,716,France,Female,52,65971.61,7,2,yes,yes
Okwudiliolisa,69608.48,no,679,France,Female,33,0,1,2,no,no
Lo,81054,yes,655,Spain,Male,38,250898.09,3,3,no,yes
Martin,74149.77,yes,555,France,Male,55,146798.81,4,1,yes,no
Page,10109.47,no,611,Germany,Female,40,128486.91,7,2,yes,no
Amaechi,58855.85,yes,600,France,Female,38,0,9,2,yes,no
Munro,84402.46,yes,531,Spain,Male,37,143407.29,1,2,no,no
Panicucci,49713.87,no,601,France,Female,43,0,2,1,yes,yes
Greathouse,133537.53,yes,548,France,Male,57,76165.65,6,1,yes,no
Ts'ui,124615.59,no,759,France,Male,40,0,4,2,yes,no
Beers,42607.69,yes,755,Germany,Female,33,90560.3,6,2,yes,no
Tretyakova,192434.11,yes,594,France,Male,61,62391.22,3,1,yes,no
Costa,49463.44,yes,492,France,Female,31,0,7,2,yes,no
Hay,65532.17,yes,593,Germany,Male,74,161434.36,5,2,yes,no
Moore,141053.85,yes,596,Spain,Male,41,0,5,2,no,no
